gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ccdc47,4.498171819907869e-11,0.6146365239007953,0.43,0.307,9.446160821806525e-7
Fbxo2,4.838543801395111e-11,-0.4044939173829909,0.275,0.478,1.0160941982929733e-6
Psma6,5.255024550469e-11,0.5452519732481562,0.55,0.472,1.1035551555984902e-6
Bmp1,5.3809164886203576e-11,-0.2604342941464775,0.064,0.182,1.1299924626102751e-6
2700046A07Rik,5.498827075134439e-11,-0.2798438584124891,0.064,0.187,1.1547536857782322e-6
Sepp1,5.980890973363469e-11,0.7067925420344765,0.605,0.448,1.2559871044063284e-6
Lgmn,6.205032029295481e-11,-0.33877254151947866,0.721,0.906,1.303056726152051e-6
Tmem147,6.320370133642539e-11,-0.368189742628082,0.57,0.783,1.3272777280649332e-6
Ankrd39,6.995791140200733e-11,-0.25440910179955395,0.079,0.21,1.469116139442154e-6
Them4,8.530629145044999e-11,-0.2517945655342818,0.121,0.277,1.7914321204594497e-6
2310035C23Rik,8.838484098792758e-11,-0.34824912270216096,0.077,0.2,1.8560816607464792e-6
Xpo1,8.959005602988897e-11,-0.26988969941259355,0.041,0.142,1.8813911766276684e-6
Eef1g,9.00600033463994e-11,0.470357090279786,0.717,0.702,1.8912600702743874e-6
Eif5a,9.404460142801276e-11,-0.35471939945539277,0.465,0.695,1.974936629988268e-6
Lsm4,9.846341094690082e-11,-0.32434715231096556,0.295,0.511,2.0677316298849173e-6
Sytl2,1.0187670182004605e-10,-0.3077138574773085,0.176,0.356,2.139410738220967e-6
Arl4d,1.0278860463975295e-10,0.40070913001918435,0.106,0.015,2.1585606974348117e-6
Oxct1,1.038008592194166e-10,-0.3567553709213016,0.251,0.449,2.1798180436077485e-6
March2,1.1230168021553953e-10,-0.2632131688702855,0.074,0.2,2.35833528452633e-6
Ptpmt1,1.1456980616070457e-10,-0.30910664552315814,0.151,0.313,2.405965929374796e-6
Rnd2,1.181699725707756e-10,-0.2652451920074708,0.042,0.144,2.4815694239862875e-6
Ptp4a1,1.1863230618085005e-10,-0.34931850147299737,0.394,0.62,2.491278429797851e-6
Fn3k,1.229335062946256e-10,0.5626231262091922,0.238,0.109,2.5816036321871376e-6
Scrn1,1.3567058104030096e-10,-0.31107086578669785,0.252,0.457,2.8490822018463203e-6
Kank1,1.3944919762001691e-10,-0.2763492131567595,0.056,0.167,2.928433150020355e-6
Ndufb7,1.438079443546966e-10,0.4123073311826593,0.78,0.768,3.0199668314486284e-6
Ppp1r9a,1.53004215161687e-10,-0.28080776330391705,0.125,0.277,3.213088518395427e-6
Nav1,1.6630484602298926e-10,-0.3204190840150499,0.235,0.416,3.4924017664827745e-6
Tmem106b,1.7465826384773644e-10,-0.27589296791378487,0.133,0.288,3.667823540802465e-6
S1pr5,1.803053793069938e-10,-0.2724662733630129,0.159,0.328,3.7864129654468702e-6
March1,1.9148944113269914e-10,0.4295619411568548,0.133,0.032,4.021278263786682e-6
Syf2,2.0729379440923235e-10,0.49812888140510925,0.685,0.689,4.353169682593879e-6
Rab6a,2.352145837457019e-10,-0.3511621115398027,0.348,0.566,4.93950625865974e-6
Srrm1,3.1293149272993647e-10,0.50826056482666,0.586,0.526,6.571561347328666e-6
Ndufb8,3.185262364186368e-10,0.35429082720361915,0.822,0.848,6.689050964791372e-6
Sirt7,3.573775190415574e-10,-0.26748212535419064,0.124,0.272,7.504927899872705e-6
Mtss1,3.680374502830878e-10,-0.3128504068869158,0.137,0.292,7.728786455944843e-6
Zmat2,3.7025652248144555e-10,0.5137622875889638,0.605,0.575,7.775386972110357e-6
Sc5d,3.918066301119592e-10,-0.33716586664931647,0.422,0.64,8.227939232351144e-6
Ptprd,3.9872168400086514e-10,-0.3005975764612714,0.836,0.951,8.373155364018167e-6
Dleu2,4.224225806306393e-10,-0.2681196875451029,0.065,0.178,8.870874193243425e-6
Zbtb16,4.4218588878949024e-10,0.4000218922493516,0.133,0.034,9.285903664579294e-6
Shroom2,5.566151477981526e-10,-0.2700405015521036,0.182,0.354,1.1688918103761206e-5
Ubxn4,6.294388234963488e-10,-0.2566966556722775,0.206,0.395,1.3218215293423325e-5
Pcbp1,6.392439619818221e-10,-0.29616461311373365,0.35,0.573,1.3424123201618263e-5
Map1lc3a,7.60852395865459e-10,-0.3270229819920044,0.26,0.453,1.597790031317464e-5
Cdc42ep2,8.25724324716675e-10,-0.3046011348923878,0.662,0.846,1.7340210819050175e-5
Tmem125,8.416441494077004e-10,-0.33055106841755566,0.596,0.775,1.7674527137561707e-5
Atpif1,8.657411047841115e-10,-0.30150804585828195,0.559,0.777,1.818056320046634e-5
Arid1a,9.169507505824763e-10,-0.25815598971623166,0.175,0.345,1.9255965762232004e-5
Vldlr,9.296908053303819e-10,-0.27819286784945696,0.252,0.449,1.952350691193802e-5
Twf1,9.827548532851363e-10,-0.28539740207996767,0.243,0.434,2.063785191898786e-5
Ubl3,1.0157170522704865e-9,-0.394407586050161,0.519,0.743,2.1330058097680215e-5
2900055J20Rik,1.0289558855254031e-9,0.49023544083819987,0.174,0.064,2.1608073596033466e-5
Bdh1,1.0993742537075784e-9,-0.28390353633738385,0.098,0.225,2.3086859327859148e-5
Clasp2,1.117154642516485e-9,-0.4968469645970184,0.266,0.442,2.3460247492846186e-5
Gnas,1.1524533594207113e-9,-0.33203398125214245,0.417,0.629,2.4201520547834937e-5
Mtap1b,1.2100217491389268e-9,-0.33792926023063674,0.353,0.564,2.5410456731917463e-5
Mrp63,1.2566055131524984e-9,-0.2753455531503981,0.272,0.479,2.6388715776202465e-5
Atp6ap2,1.2740100739400014e-9,0.4061823567178249,0.671,0.637,2.675421155274003e-5
