gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ranbp1,Astro,5.509266475564273e-18,-0.7425671984042022,0.322,0.541,1.1569459598684974e-13
Atp1a2,Astro,6.1329182611745e-18,0.39823703212241135,0.995,0.983,1.287912834846645e-13
Nol7,Astro,6.447652805189037e-18,-0.646107219339598,0.118,0.321,1.3540070890896977e-13
Gabrb1,Astro,7.48488256843707e-18,0.6668458324164346,0.603,0.36,1.5718253393717845e-13
Tkt,Astro,1.0005896557431129e-17,0.6392004350718505,0.761,0.593,2.101238277060537e-13
Car2,Astro,1.7896086128597343e-17,0.4954239259399307,0.952,0.847,3.758178087005442e-13
Akr7a5,Astro,1.8944277082858183e-17,-0.4365207451766644,0.03,0.168,3.9782981874002186e-13
Son,Astro,2.3983447873885324e-17,0.5522432735989535,0.939,0.847,5.036524053515918e-13
Oaz1,Astro,2.968926107694715e-17,-0.4211554795451513,0.949,0.96,6.234744826158902e-13
Mpzl1,Astro,3.288366133006657e-17,-0.46970260709069833,0.019,0.141,6.90556887931398e-13
Snf8,Astro,3.459974809744356e-17,-0.5358883543124817,0.081,0.259,7.265947100463148e-13
Marcks,Astro,3.8575841970856744e-17,-1.1715176492801913,0.125,0.321,8.100926813879916e-13
AW047730,Astro,4.194183391939774e-17,-0.7410402727436002,0.135,0.336,8.807785123073526e-13
Med9,Astro,4.876747101756376e-17,-0.3596774266566137,0.026,0.158,1.024116891368839e-12
Gjb6,Astro,5.419632418159217e-17,0.47854946067163207,0.889,0.659,1.1381228078134356e-12
Zcrb1,Astro,7.165704813883761e-17,-0.6326980124634844,0.154,0.358,1.5047980109155897e-12
Sdf2l1,Astro,9.637494699157504e-17,-0.42217419177203,0.029,0.16,2.023873886823076e-12
Fermt2,Astro,1.0434038745964143e-16,0.5435981506912322,0.887,0.738,2.19114813665247e-12
Schip1,Astro,1.0775108264606438e-16,-0.7847297248117859,0.347,0.541,2.262772735567352e-12
Cbr3,Astro,1.346906764376872e-16,-0.6776024371402762,0.098,0.274,2.828504205191431e-12
Rab11a,Astro,1.4737338840981034e-16,-0.6131089933507438,0.178,0.39,3.094841156606017e-12
Gadd45gip1,Astro,1.566538466310352e-16,-0.5550523708415177,0.186,0.41,3.289730779251739e-12
Cox8a,Astro,2.4771251992196245e-16,-0.3781427361263132,0.992,0.98,5.201962918361212e-12
Crot,Astro,2.755884801664501e-16,0.6852180874417169,0.578,0.346,5.787358083495452e-12
Lrp4,Astro,2.8971686065606606e-16,-0.7660484001733154,0.11,0.289,6.0840540737773875e-12
Phyh,Astro,3.693218296446812e-16,0.6393212330600695,0.605,0.388,7.755758422538305e-12
Gfap,Astro,4.3442270071088977e-16,-1.5234509358179518,0.135,0.321,9.122876714928686e-12
Gm16517,Astro,4.394821497968658e-16,-0.5780209764192574,0.171,0.378,9.229125145734182e-12
Atp5d,Astro,4.546200752032639e-16,-0.45790804349332115,0.814,0.889,9.547021579268542e-12
Mid1ip1,Astro,6.149284542987576e-16,0.45813507859537106,0.916,0.773,1.2913497540273909e-11
Trim35,Astro,8.414788515009689e-16,-0.5200504889735317,0.084,0.254,1.7671055881520347e-11
Gpi1,Astro,1.211120049534337e-15,0.5367935936283077,0.809,0.654,2.543352104022108e-11
Dnlz,Astro,1.4214032807890415e-15,-0.4605491453892606,0.046,0.188,2.9849468896569875e-11
Nudt19,Astro,2.2106197448424515e-15,-0.6852039702285693,0.299,0.504,4.642301464169148e-11
Rundc3a,Astro,2.44007884239778e-15,-0.48496891001938786,0.063,0.215,5.124165569035338e-11
Klf13,Astro,3.521457223513253e-15,-0.513031863638058,0.091,0.262,7.395060169377832e-11
Abhd2,Astro,4.4107211424206534e-15,-0.7098583077717061,0.064,0.212,9.262514399083372e-11
Eif5a,Astro,4.6152267853990544e-15,-0.5943913556974312,0.369,0.556,9.691976249338014e-11
Ctnnb1,Astro,4.7824314180964775e-15,-0.6323878602150665,0.148,0.338,1.0043105978002602e-10
2410004B18Rik,Astro,4.807923766025016e-15,-0.4109081897196807,0.035,0.163,1.0096639908652534e-10
Gpx8,Astro,9.591483534372432e-15,-0.6441828655834192,0.086,0.247,2.0142115422182106e-10
Slc1a3,Astro,1.2851063760862428e-14,0.34193956780781853,0.996,0.98,2.69872338978111e-10
Ddx5,Astro,1.3778922657388128e-14,0.47887492952336963,0.874,0.728,2.893573758051507e-10
Cldn10,Astro,1.4537634253485126e-14,0.4309879324968904,0.975,0.872,3.0529031932318766e-10
Hhatl,Astro,1.5427827011829563e-14,0.7043724595227638,0.294,0.101,3.2398436724842084e-10
Stub1,Astro,1.6098406962161963e-14,-0.5892361421784437,0.196,0.388,3.380665462054012e-10
1500011H22Rik,Astro,1.6943276030125577e-14,-0.4674911510748748,0.071,0.225,3.5580879663263713e-10
Hadhb,Astro,2.096497301961255e-14,0.5625910527564837,0.728,0.531,4.4026443341186357e-10
Snrpf,Astro,2.8036593261503712e-14,-0.5573697838321279,0.126,0.304,5.887684584915779e-10
Mageh1,Astro,2.897530567420582e-14,0.5724003076842759,0.728,0.556,6.084814191583223e-10
Tmem203,Astro,2.988902602383929e-14,-0.34931600241677496,0.028,0.143,6.276695465006252e-10
Mertk,Astro,3.150055712726393e-14,0.659687472162449,0.536,0.306,6.615116996725425e-10
Pllp,Astro,3.7641989368704644e-14,-0.8520012455150041,0.029,0.143,7.904817767427976e-10
